list_date,isbn13,rank,weeks_on_list,isbn10,title,author,publisher,description,month,clean_description,dominant_topic,sentiment_compound
2018-09-02,9780316556668,1,1,,TEXAS RANGER,James Patterson and Andrew Bourelle,"Little, Brown",Rory Yates's job and reputation are at risk when he is accused of killing his ex-wife.,9,rory yate job reputation risk accuse kill wife,18,-0.8225
2018-09-02,9780316412698,2,11,,THE PRESIDENT IS MISSING,James Patterson and Bill Clinton,"Little, Brown and Knopf",President Jonathan Duncan takes on adversaries at home and abroad.,9,president jonathan duncan take adversary home abroad,2,-0.2023
2018-09-02,9781455572168,3,2,,TAILSPIN,Sandra Brown,Grand Central,A pilot navigates treacherous situations when he attempts to deliver a mysterious black box to a doctor in Georgia.,9,pilot navigate treacherous situation attempt deliver mysterious black box doctor georgia,18,0.0
2018-09-02,9781501180989,4,13,,THE OUTSIDER,Stephen King,Scribner,A detective investigates a seemingly wholesome member of the community when an 11-year-old boy’s body is found.,9,detective investigate seemingly wholesome member community     year old boy body find,9,0.0
2018-09-02,9781250099594,5,1,,FEARED,Lisa Scottoline,St. Martin's,Mary DiNunzio and Bennie Rosato must solve a murder and handle a reverse sex discrimination suit against their firm.,9,mary dinunzio bennie rosato solve murder handle reverse sex discrimination suit firm,14,-0.5994
2018-09-02,9780062834829,6,5,,THE OTHER WOMAN,Daniel Silva,Harper,"Gabriel Allon, the art restorer and assassin, fights the Russians to decide the fate of postwar global order.",9,gabriel allon art restorer assassin fight russians decide fate postwar global order,12,-0.3818
2018-09-02,9780425284681,7,48,,BEFORE WE WERE YOURS,Lisa Wingate,Ballantine,A South Carolina lawyer learns about the questionable practices of a Tennessee orphanage.,9,south carolina lawyer learn questionable practice tennessee orphanage,10,-0.296
2018-09-02,9780735224292,8,45,,LITTLE FIRES EVERYWHERE,Celeste Ng,Penguin Press,An artist upends a quiet town outside Cleveland.,9,artist upend quiet town outside cleveland,6,0.0
2018-09-02,9780399181252,9,5,,COTTAGE BY THE SEA,Debbie Macomber,Ballantine,Annie Marlow forms new relationships in the Pacific Northwest as she tries to recover from tragedy.,9,annie marlow form new relationship pacific northwest try recover tragedy,13,-0.6597
2018-09-02,9781501138126,10,3,,PARADOX,Catherine Coulter,Gallery,"In the 22nd book in the F.B.I. Thriller series, agents Sherlock and Savich look for an escaped psychopath.",9,book thriller series agent sherlock savich look escape psychopath,12,0.2732
2018-09-02,9780399178924,11,8,,ALL WE EVER WANTED,Emily Giffin,Ballantine,A scandal sends members of two Nashville families into chaos.,9,scandal send member nashville family chaos,18,-0.765
2018-09-02,9780062678416,12,28,,THE WOMAN IN THE WINDOW,A.J. Finn,Morrow,A recluse who drinks heavily and takes prescription drugs may have witnessed a crime across from her Harlem townhouse.,9,recluse drink heavily take prescription drug witness crime harlem townhouse,8,-0.5423
2018-09-02,9781476778440,13,11,,WHEN LIFE GIVES YOU LULULEMONS,Lauren Weisberger,Simon & Schuster,Emily Charlton plans a comeback from the suburbs.,9,emily charlton plan comeback suburb,17,0.0
2018-09-02,9780525520139,14,1,,CHERRY,Nico Walker,Knopf,An Iraq veteran and his girlfriend consider taking desperate measures after getting addicted to opioids.,9,iraq veteran girlfriend consider take desperate measure get addict opioid,10,-0.3182
2018-09-02,9780316375269,15,9,,THE PERFECT COUPLE,Elin Hilderbrand,"Little, Brown",A body is found in Nantucket Harbor hours before a picture-perfect wedding.,9,body find nantucket harbor hour picture perfect wedding,19,0.5719
2018-09-09,9780316556668,1,2,,TEXAS RANGER,James Patterson and Andrew Bourelle,"Little, Brown",Rory Yates's job and reputation are at risk when he is accused of killing his ex-wife.,9,rory yate job reputation risk accuse kill wife,18,-0.8225
2018-09-09,9780316412698,2,12,,THE PRESIDENT IS MISSING,James Patterson and Bill Clinton,"Little, Brown and Knopf",President Jonathan Duncan takes on adversaries at home and abroad.,9,president jonathan duncan take adversary home abroad,2,-0.2023
2018-09-09,9780062430274,3,1,,PIECES OF HER,Karin Slaughter,Morrow,"When a violent incident reveals her mother’s secret past, Andrea Oliver searches for clues to save her.",9,violent incident reveal mother secret past andrea oliver search clue save,5,-0.1779
2018-09-09,9781455572168,4,3,,TAILSPIN,Sandra Brown,Grand Central,A pilot navigates treacherous situations when he attempts to deliver a mysterious black box to a doctor in Georgia.,9,pilot navigate treacherous situation attempt deliver mysterious black box doctor georgia,18,0.0
2018-09-09,9781501180989,5,14,,THE OUTSIDER,Stephen King,Scribner,A detective investigates a seemingly wholesome member of the community when an 11-year-old boy’s body is found.,9,detective investigate seemingly wholesome member community     year old boy body find,9,0.0
2018-09-09,9781501147463,6,1,,DESOLATION MOUNTAIN,William Kent Krueger,Atria,An independent investigation into a deadly plane crash in a remote part of a Native American reservation faces a menace.,9,independent investigation deadly plane crash remote native american reservation face menace,16,-0.7096
2018-09-09,9780425284681,7,49,,BEFORE WE WERE YOURS,Lisa Wingate,Ballantine,A South Carolina lawyer learns about the questionable practices of a Tennessee orphanage.,9,south carolina lawyer learn questionable practice tennessee orphanage,10,-0.296
2018-09-09,9780062834829,8,6,,THE OTHER WOMAN,Daniel Silva,Harper,"Gabriel Allon, the art restorer and assassin, fights the Russians to decide the fate of postwar global order.",9,gabriel allon art restorer assassin fight russians decide fate postwar global order,12,-0.3818
