isbn13,isbn10,title,author,publisher,description
9781984821379,,NEIGHBORS,Danielle Steel,Delacorte,A Hollywood recluse’s perspective changes when she invites her neighbors into her mansion after an earthquake.
9780593157718,,STAR WARS: LIGHT OF THE JEDI,Charles Soule,Del Rey,"In this installment of the High Republic series, a disaster in hyperspace may cause far greater damage."
9781501160837,,ANXIOUS PEOPLE,Fredrik Backman,Atria,A failed bank robber holds a group of strangers hostage at an apartment open house.
9781538728574,,THE RETURN,Nicholas Sparks,Grand Central,A doctor serving in the Navy in Afghanistan goes back to North Carolina where two women change his life.
9780385545969,,A TIME FOR MERCY,John Grisham,Doubleday,"The third book in the Jake Brigance series. A 16-year-old is accused of killing a deputy in Clanton, Miss., in 1990."
9781524761332,,READY PLAYER TWO,Ernest Cline,Ballantine,"In a sequel to “Ready Player One,” Wade Watts discovers a technological advancement and goes on a new quest."
9780525657606,,HAMNET,Maggie O'Farrell,Knopf,An imagined exploration of how the death of an 11-year-old boy to the Black Plague in 1596 might have affected a famous playwright and his wife.
9781635575422,,OUTLAWED,Anna North,Bloomsbury,"Ada, who apprentices midwifery under her mother, must decide whether to aid a band of outlaws who want to create a safe haven for outcast women."
9780316420259,,DEADLY CROSS,James Patterson,"Little, Brown",The 28th book in the Alex Cross series. An investigation of a double homicide sends Alex Cross to Alabama.
9780593449592,,COUNTING MIRACLES,Nicholas Sparks,Random House,A man in search of the father he never knew encounters a single mom and rumors circulate of the nearby appearance of a white deer.
9781250355669,,THE STARS ARE DYING,Chloe C. Peñaranda,Bramble,Astraea must decide whether to sneak in as a substitute in the trials that will determine the safety of her kingdom.
9780374602635,,INTERMEZZO,Sally Rooney,"Farrar, Straus and Giroux","After the passing of their father, seemingly different brothers engage in relationships and seek ways to cope."
9781250178633,,THE WOMEN,Kristin Hannah,St. Martin's,A nurse follows her brother to serve during the Vietnam War and returns to a divided America.
9781538770382,,IDENTITY UNKNOWN,Patricia Cornwell,Grand Central,The 28th book in the Kay Scarpetta Series. Scarpetta investigates the death of a former lover.
9781649374172,,IRON FLAME,Rebecca Yarros,Red Tower,The second book in the Empyrean series. Violet Sorrengail’s next round of training under the new vice commandant might require her to betray the man she loves.
9781250895783,,THE LAST ONE AT THE WEDDING,Jason Rekulak,Flatiron,Frank Szatowski finds himself in a tricky spot when his estranged daughter invites him to her wedding to the son of a tech billionaire.
9780316403894,,LIES HE TOLD ME,James Patterson and David Ellis,"Little, Brown",An act of heroism by an Illinois pub owner may lead to his undoing.
9781649374042,,FOURTH WING,Rebecca Yarros,Red Tower,"Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders."
9780593798607,,HERE ONE MOMENT,Liane Moriarty,Crown,Passengers on a short and seemingly unremarkable flight learn how and when they are going to die.
9780593418918,,THE GOD OF THE WOODS,Liz Moore,Riverhead,"When a 13-year-old girl disappears from an Adirondack summer camp in 1975, secrets kept by the Van Laar family emerge."
9780593798874,,ALL THE COLORS OF THE DARK,Chris Whitaker,Crown,Questions arise when a boy saves the daughter of a wealthy family amid a string of disappearances in a Missouri town in 1975.
9781668085721,,SPARK OF THE EVERFLAME,Penn Cole,Atria,"After her mother’s sudden disappearance, Diem Bellator goes on a quest to save her family and all mortalkind."
9780593446096,,TELL ME EVERYTHING,Elizabeth Strout,Random House,"As a murder casts a pall on a town in Maine, Lucy Barton, Olive Kitteridge and Bob Burgess share stories and seek meaning."
9781668037713,,YOU LIKE IT DARKER,Stephen King,Scribner,A dozen short stories that explore darkness in literal and metaphorical forms.
9781250232427,,THE SURVIVORS,Jane Harper,Flatiron,"Kieran Elliott takes his young family to his coastal hometown, where a body is found on the beach."
